name,rank,charter,consolidated_assets
HOMETRUST BK/HOMETRUST BSHRS ,270,SMB,3648
SECURITY BK OF KANSAS CITY/VALLEY VIEW BSHRS ,271,SNM,3618
TIB THE INDEP BANKERSBANK NA/INDEPENDENT BKR FC ,272,NAT,3586
TEXAS B&TC/OVERTON FC ,273,SNM,3580
FIRST ST CMNTY BK/FIRST ST BSHRS ,274,SNM,3556
SMARTBANK/SMARTFINANCIAL ,275,SMB,3553
BARRINGTON B&TC NA/WINTRUST FC ,276,NAT,3552
WILSON B&TC/WILSON BHC ,277,SNM,3537
CENTRAL TR BK/CENTRAL BANCOMPANY INC ,278,SMB,3537
ALTABANK/ALTABANCORP ,279,SNM,3521
BURKE & HERBERT B&TC/ ,280,SNM,3505
POPPY BK/BIG POPPY HOLDS ,281,SNM,3457
CENTRAL B&TC/CENTRAL BSHRS ,282,SNM,3455
RIVER CITY BK/ ,283,SNM,3408
ANB BK/STURM FNCL GROUP INC ,284,SMB,3394
MID PENN BK/MID PENN BC ,285,SNM,3381
UNITED CMNTY BK/UNITED CMNTY BC ,286,SNM,3336
CITIZENS FIRST BK/VILLAGES BC ,287,SNM,3334
PRIMIS BK/PRIMIS FNCL CORP ,288,SMB,3332
BANK OF THE SIERRA/SIERRA BC ,289,SNM,3327
FARMERS NB/FARMERS NAT BC ,290,NAT,3312
EXCHANGE BK/FRANK P DOYLE TR ARTICLE IX ,291,SNM,3294
LENDINGCLUB BK NA/LENDINGCLUB CORP ,292,NAT,3291
DACOTAH BK/DACOTAH BKS ,293,SMB,3249
SUMMIT CMNTY BK/SUMMIT FNCL GROUP ,294,SNM,3246
VERABANK NA/VERABANK ,295,NAT,3193
WEST BK/WEST BC ,296,SNM,3172
BANK RHODE ISLAND/BROOKLINE BC ,297,SMB,3171
OLD SECOND NB/OLD SECOND BC ,298,NAT,3170
BLUE RIDGE BK NA/BLUE RIDGE BSHRS ,299,NAT,3155
ALERUS FNCL NA/ALERUS FC ,300,NAT,3150
CAPSTAR BK/CAPSTAR FNCL HOLDS ,301,SMB,3148
TOWN BK NA/WINTRUST FC ,302,NAT,3146
FIRST CMNTY BK/FIRST CMNTY BSHRS ,303,SMB,3139
FIRST PREMIER BK/UNITED NAT CORP ,304,SMB,3131
FIDELITY BK/FIDELITY BSHRS NC ,305,SNM,3126
NATIONAL CO-OP BK NA/NATIONAL CONSUMER CO-OP BK ,306,NAT,3080
INDEPENDENCE BK OF KY/INDEPENDENCE BSHRS ,307,SMB,3076
BRIDGEWATER BK/BRIDGEWATER BSHRS ,308,SNM,3069
GLENS FALLS NB&TC/ARROW FC ,309,NAT,3063
BANK OF MARIN/BANK OF MARIN BC ,310,SNM,3058
AMERICAN NB&TC/AMERICAN NAT BSHRS ,311,NAT,3057
CIVISTA BK/CIVISTA BSHRS ,312,SMB,3054
RELIANT BK/RELIANT BC ,313,SMB,3050
CHOICE FNCL GRP/CHOICE FNCL HOLD ,314,SNM,3030
PEOPLES SCTY B&TC/PEOPLES FS CORP ,315,SNM,2993
NATIONAL BK OF INDIANAPOLIS/NATIONAL BK INDIANAPOLIS CORP ,316,NAT,2993
FIRST NB AMER/FIRST NAT BSHRS ,317,NAT,2993
FIRST B&T/HEARTLAND FNCL USA ,318,SNM,2991
ORRSTOWN BK/ORRSTOWN FNCL SVC ,319,SMB,2963
WEST SUBURBAN BK/WEST SUBURBAN BC ,320,SNM,2944
BESSEMER TC NA/BESSEMER GRP ,321,NAT,2931
INDUSTRIAL & CMRL BK/EAST ASIA HC ,322,NAT,2913
PARKWAY B&TC/PARKWAY BC ,323,SNM,2898
GUARANTY B&TC NA/GUARANTY BSHRS ,324,NAT,2891
FINEMARK NB&TC/FINEMARK HOLD ,325,NAT,2871
BCB CMNTY BK/BCB BC ,326,SNM,2852
CARROLLTON BK/CBX CORP ,327,SNM,2850
BANK FIRST NA/BANK FIRST CORP ,328,NAT,2846
RED RIVER BK/RED RIVER BSHRS ,329,SNM,2820
STAR FNCL BK/STAR FNCL GRP ,330,SNM,2767
MERCHANTS BK NA/MERCHANTS FNCL GROUP ,331,NAT,2746
FIDELITY BK NA/FIDELITY FC ,332,NAT,2742
LONE STAR NB/LONE STAR NAT BSHRS TX ,333,NAT,2738
BANK OF TAMPA/TAMPA BAY BKG CO ,334,SNM,2736
MACATAWA BK/MACATAWA BC ,335,SNM,2734
SOUTHERN BK/SOUTHERN MO BC ,336,SMB,2719
WHEATON B&TC NA/WINTRUST FC ,337,NAT,2706
HOME BK NA/HOME BC ,338,NAT,2702
AMERICAN MOMENTUM BK/ADAM BK GRP ,339,SNM,2700
CENTRAL BK OF BOONE CTY/CENTRAL BANCOMPANY INC ,340,SMB,2684
AMBOY BK/AMBOY BC ,341,SMB,2656
VANTAGE BK TX/VBT FC ,342,SMB,2653
MVB BK INC/MVB FC ,343,SNM,2642
CACHE VALLEY BK/CACHE VALLEY BKG CO ,344,SNM,2642
ACNB BK/ACNB CORP ,345,SNM,2640
PEOPLES BK/PEOPLES BC ,346,SNM,2636
CITYWIDE BKS/HEARTLAND FNCL USA ,347,SNM,2632
HOWARD BK/HOWARD BC ,348,SNM,2625
FIRST BUS BK/FIRST BUS FS ,349,SNM,2617
BANK OF MO/RELIABLE CMNTY BSHRS ,350,SNM,2601
NORTHERN B&TC/NORTHERN BC ,351,SNM,2585
NATIONAL EXCHANGE B&T/NEB CORP ,352,NAT,2581
SOUTHERN FIRST BK/SOUTHERN FIRST BSHRS ,353,SNM,2579
LEVEL ONE BK/LEVEL ONE BC ,354,SNM,2573
FIRST GUARANTY BK/SMITH & HOOD HC LLC ,355,SNM,2566
DL EVANS BK/DL EVANS BC ,356,SNM,2554
FRANDSEN B&T/FRANDSEN FC ,357,SMB,2541
WESTSTAR BK/WESTSTAR BHC ,358,SMB,2520
TOMPKINS TC/TOMPKINS FNCL CORP ,359,SNM,2516
FIRST B&TC/FIRST BC ,360,SMB,2514
FIRST CHOICE BK/FIRST CHOICE BC ,361,SMB,2506
BRYANT BK/ ,362,SNM,2502
WOORI AMER BK/ ,363,SNM,2474
CENTRAL BK OF ST LOUIS/CENTRAL BANCOMPANY INC ,364,SMB,2465
CHEMUNG CANAL TC/CHEMUNG FC ,365,SMB,2437
LEADER BK NA/LEADER BC ,366,NAT,2420
REPUBLIC BK OF CHICAGO/REPUBLIC BC CO ,367,SNM,2415
GULF COAST B&TC/ ,368,SNM,2411
AUSTIN BK TX NA/JSA FAM LP ,369,NAT,2410
